date	Total	TP	TN	FP	FN
2012-12	30533	3038	27466	6	23
2013-01	4991	467	4466	25	33
2013-02	3185	263	2856	9	57
2013-03	3365	272	3006	22	65
2013-04	3886	341	3483	14	48
2013-05	4865	391	4375	8	91
2013-06	3384	275	3031	15	63
2013-07	2520	211	2261	6	42
2013-08	2436	201	2184	10	41
2013-09	4984	401	4461	23	99
2013-10	4989	374	4458	32	125
2013-11	4972	350	4444	33	145
2013-12	4991	305	4469	23	194
2014-01	4983	303	4461	29	190
2014-02	4981	356	4465	21	139
2014-03	4983	302	4455	34	192
2014-04	4430	256	3959	31	184
2014-05	4985	356	4453	35	141
2014-06	4989	267	4459	32	231
2014-07	4994	214	4469	26	285
2014-08	4989	213	4459	34	283
2014-09	4250	272	3807	21	150
2014-10	4969	275	4453	27	214
2014-11	4975	318	4450	32	175
2014-12	4957	319	4439	25	174
2015-01	4931	323	4436	17	155
2015-02	4954	350	4453	19	132
2015-03	4939	323	4452	16	148
2015-04	4946	383	4459	20	84
2015-05	4934	346	4469	21	98
2015-06	4946	267	4479	10	190
2015-07	4824	318	4332	15	159
2015-08	3111	192	2797	8	114
2015-09	4959	246	4463	14	236
2015-10	4963	241	4468	20	234
2015-11	4975	108	4468	19	380
2015-12	4970	143	4463	26	338
2016-01	4931	279	4485	10	157
2016-02	4917	330	4457	26	104
2016-03	4950	362	4471	26	91
2016-04	4926	244	4465	29	188
2016-05	4968	308	4472	19	169
2016-06	4974	371	4468	14	121
2016-07	4970	387	4463	26	94
2016-08	4981	371	4448	36	126
2016-09	4965	364	4454	18	129
2016-10	4977	415	4461	24	77
2016-11	3327	193	2985	12	137
2016-12	3150	194	2825	18	113
2017-01	3410	241	3070	20	79
2017-02	3770	289	3387	15	79
2017-03	3596	219	3247	17	113
2017-04	1905	89	1741	9	66
2017-05	1265	58	1161	5	41
2017-06	1399	66	1281	5	47
2017-07	1871	136	1674	10	51
2017-08	2989	271	2673	20	25
2017-09	1764	131	1596	11	26
2017-10	2914	176	2681	12	45
2017-11	987	76	886	9	16
2017-12	1442	107	1297	20	18
2018-01	1836	129	1675	8	24
2018-02	1791	106	1641	5	39
2018-03	4765	219	4476	15	55
2018-04	2966	238	2663	22	43
2018-05	2478	199	2223	13	43
2018-06	4970	344	4482	10	134
2018-07	4983	385	4481	14	103
2018-08	2989	227	2685	13	64
2018-09	4953	311	4483	12	147
2018-10	4989	255	4475	21	238
2018-11	2984	198	2687	10	89
2018-12	2225	124	2009	23	69
